Sentence,Emotion,Translated
Probably kill myself!,neutral,Tuez probablement moi-même!
..Excuse me?,neutral,..Excusez-moi?
"Hey, if Little Joey's dead, then I got no reason to live!",sadness,"Hé, si Little Joey est mort, alors je n'ai aucune raison de vivre!"
"Joey, uh- OMnipotent.",neutral,"Joey, euh-omnipotent."
"You are? Ross, I'm sorry..",sadness,"Tu es?Ross, je suis désolé .."
...Poulet passes it up to Leetch!,happiness,... Poulet le passe à Leetch!
Leetch spots Messier in the crease- there's the pass!,happiness,Leetch a des taches plus désordonnées dans le pli - il y a la passe!
We'll take a brief time out while Messier stops to look at some women's shoes.,neutral,Nous prendrons un bref moment pendant que Messier s'arrête pour regarder les chaussures pour femmes.
"Carol was wearing boots just like those the night that we- we first- y'know. Fact, she, uh- she never took'em off, 'cause we-we- Sorry. Sorry.",neutral,"Carol portait des bottes comme celles de la nuit où nous- nous le premier - vous savez.Fait, elle, euh- elle n'a jamais enlevé, parce que nous-nous désolés.Désolé."
What?,neutral,Quoi?
Peach pit.,neutral,Puits de pêche.
"Yes, Bunny?",happiness,"Oui, Bunny?"
"Peach pit. That night we, uh- we had-",neutral,"Puits de pêche.Cette nuit-là, nous, euh, nous avions-"
-Peaches?,happiness,-Pesaches?
"Actually, nectarines, but basically...",happiness,"En fait, les nectarines, mais en gros ..."
Could've been a peach.,happiness,Aurait pu être une pêche.
"Then, uh, then we got dressed, and I-I... I walked her to the- -the bus stop... I'm fine.",neutral,"Ensuite, euh, alors nous nous sommes habillés, et je-je ... je l'ai emmenée à l'arrêt de bus ... Je vais bien."
"Hey, that woman's got an ass like Carol's! What? Thought we were trying to find stuff.",happiness,"Hé, cette femme a un cul comme Carol!Quoi?Je pensais que nous essayions de trouver des trucs."
"So c'mon, you guys, tell me all the dirt!",happiness,"Alors allez, vous les gars, dites-moi toute la saleté!"
"Well, the biggest news is still you dumping Barry at the altar!",happiness,"Eh bien, la plus grande nouvelle est que vous jettez toujours Barry à l'autel!"
Alright. Let's talk reality for a second.,neutral,Bien.Parlons de la réalité une seconde.
Okay.,neutral,D'accord.
When are you coming home?,neutral,Quand rentrez-vous à la maison?
"What? Guys, I'm not.",anger,"Quoi?Les gars, je ne le suis pas."
"C'mon, this is us.",neutral,"Allez, c'est nous."
I'm not! This is what I'm doing now. I've got this job-,anger,Je ne suis pas!C'est ce que je fais maintenant.J'ai ce travail
Waitressing?,neutral,Serveuse?
"Okay, I'm not just waitressing. I'm.. I, um... I write the specials on the specials board, and, uh... and I, uh... I take the uh dead flowers out of the vase... Oh, and, um, sometimes Artelle lets me put the little chocolate blobbies on the cookies.",neutral,"D'accord, je ne suis pas seulement la serveuse.Je suis ... je, euh ... j'écris les spéciaux sur la planche spéciale, et, euh ... et je, euh ... je retire les fleurs mortes du vase ... oh, et, euh, parfois artelle me laisse mettre les petits blobbies au chocolat sur les biscuits."
Well. Your mom didn't tell us about the blobbies.,neutral,Bien.Votre maman ne nous a pas parlé des Blobbies.
"Hey, Rach. How was it with your friends? Okay! How would you like some Tiki Death Punch?",happiness,"Hé, Rach.Comment était-ce avec vos amis?D'accord!Comment aimeriez-vous un punch de mort tiki?"
What's that?,neutral,Qu'est ce que c'est?
"Weeeell, it's rum, and-",neutral,"Weeeell, c'est du rhum et"
Okay.,neutral,D'accord.
"We thought since Phoebe was staying over tonight we'd have kinda like a slumber party thing. We got some trashy magazines, we got cookie dough, we got Twister...",happiness,"Nous pensions que depuis que Phoebe restait ce soir, nous aurions un peu comme un truc de fête de sommeil.Nous avons des magazines trash, nous avons une pâte à biscuits, nous avons Twister ..."
"Ooh! Ooh! And I brought Operation! But, um, I lost the tweezers, so we can't operate. But we can prep the guy!",happiness,"Ooh!Ooh!Et j'ai apporté l'opération!Mais, euh, j'ai perdu les pincettes, donc nous ne pouvons pas fonctionner.Mais nous pouvons préparer le gars!"
"Uh, Rach, it's the Visa card people.",neutral,"Euh, Rach, c'est les gens de la carte visa."
"Oh, God, ask them what they want.",fear,"Oh, Dieu, demandez-leur ce qu'ils veulent."
"Could you please tell me what this is in reference to? Yes, hold on. Um, they say there's been some unusual activity on your account.",neutral,"Pourriez-vous s'il vous plaît me dire à quoi cela fait référence?Oui, attendez.Hum, ils disent qu'il y a eu une activité inhabituelle sur votre compte."
But I haven't used my card in weeks!,fear,Mais je n'ai pas utilisé ma carte depuis des semaines!
"That is the unusual activity. Look, they just wanna see if you're okay.",happiness,"C'est l'activité inhabituelle.Regardez, ils veulent juste voir si vous allez bien."
"They wanna know if I'm okay. Okay.. they wanna know if I'm okay, okay, let's see. Well, let's see, the FICA guys took all my money, everyone I know is either getting married, or getting promoted, or getting pregnant, and I'm getting coffee! And it's not even for me! So if that sounds like I'm okay, okay, then you can tell them I'm okay, okay?",anger,"Ils veulent savoir si je vais bien.D'accord ... ils veulent savoir si je vais bien, d'accord, voyons.Eh bien, voyons, les gars de la Fica ont pris tout mon argent, tout le monde que je connais se marie, soit se faire promouvoir, soit tomber enceinte, et je prends un café!Et ce n'est même pas pour moi!Donc, si cela semble bien, d'accord, alors tu peux leur dire que je vais bien, d'accord?"
"Uh- Rachel has left the building, can you call back?",neutral,"Uh- Rachel a quitté le bâtiment, pouvez-vous rappeler?"
"Alright, c'mon! Let's play Twister!",sadness,"Très bien, allez!Jouons à Twister!"
You should feel great about yourself! You're doing this amazing independence thing!,happiness,Vous devriez vous sentir bien dans votre peau!Vous faites cette incroyable affaire d'indépendance!
"Monica, what is so amazing? I gave up, like, everything. And for what?",sadness,"Monica, qu'est-ce qui est si incroyable?J'ai abandonné, comme tout.Et pour quoi?"
You are just like Jack.,neutral,Tu es juste comme Jack.
...Jack from downstairs?,neutral,... Jack des escaliers?
"No, Jack and the Beanstalk.",neutral,"Non, Jack et le beanstalk."
"Ah, the other Jack.",neutral,"Ah, l'autre Jack."
"Yeah, right! See, he gave up something, but then he got those magic beans. And then he woke up, and there was this, this big plant outside his window, full of possibilities and stuff.. And he lived in a village, and you live in the Village..",happiness,"Ouais, c'est vrai!Vous voyez, il a abandonné quelque chose, mais ensuite il a obtenu ces haricots magiques.Et puis il s'est réveillé, et il y avait ceci, cette grande plante à l'extérieur de sa fenêtre, pleine de possibilités et de trucs .. et il vivait dans un village, et vous vivez dans le village."
"Okay, but Pheebs, Pheebs, Jack gave up a cow, I gave up an orthodontist. Okay, I-I-I know, I know I didn't love him-",neutral,"D'accord, mais Pheebs, Pheebs, Jack a abandonné une vache, j'ai abandonné un orthodontiste.D'accord, je-je sais, je sais que je ne l'aimais pas"
"Oh, see, Jack did love the cow.",neutral,"Oh, voyez, Jack a adoré la vache."
"But see, it was a plan. Y'know, it was clear. It was figured out, and now everything's just kinda like...",neutral,"Mais voyez, c'était un plan.Tu sais, c'était clair.Il a été compris, et maintenant tout est juste un peu comme ..."
Floopy?,neutral,FOOPY?
Yeah.,neutral,Ouais.
"So what, you're not the only one. I mean, half the time we don't know where we're going. You've just gotta figure at some point it's all gonna come together, and it's just gonna be... un-floopy.",neutral,"Alors quoi, vous n'êtes pas le seul.Je veux dire, la moitié du temps, nous ne savons pas où nous allons.Tu dois juste comprendre à un moment donné que tout va se réunir, et ça va être ... non-floopy."
"Oh, like that's a word.",neutral,"Oh, comme c'est un mot."
"Okay, but Monica, what if- what if it doesn't come together?",fear,"D'accord, mais Monica, et si - et si ça ne se réunissait pas?"
...Pheebs?,neutral,...?
"Oh, well... 'cause.... you just... I don't like this question.",neutral,"Oh, eh bien ... car ... tu ... je n'aime pas cette question."
"Okay, see, see, you guys, what if we don't get magic beans? I mean, what if all we've got are.. beans?",neutral,"D'accord, voyez, voyez, vous les gars, et si nous n'obtenons pas les haricots magiques?Je veux dire, que se passe-t-il si tout ce que nous avons sont ... des haricots?"
"Get him! GET HIM! Get him! Get- YESSS! Not laughing now, are ya pal!",anger,"Obtenez-le!Obtenez-le!Obtenez-le!Get- yess!Ne riant pas maintenant, c'est Ya Pal!"
"See buddy, that's all you need, a bunch of toothless guys hitting each other with sticks.",neutral,"Voir Buddy, c'est tout ce dont vous avez besoin, un tas de gars édentés se frappant avec des bâtons."
Pass it! Pass it!,happiness,Passez-le!Passez-le!
He's open!,happiness,Il est ouvert!
Shoot! Shoot! Shoot!,happiness,Tirer!Tirer!Tirer!
"Hey, look, we're on that TV thing!",happiness,"Hé, regardez, nous sommes sur ce truc de la télé!"
'Scuse me.,neutral,«Je m'excuse.
"It says to call this number if you're not completely satisfied with this candy bar. Well, I'm not completely satisfied.",anger,"Il dit d'appeler ce numéro si vous n'êtes pas complètement satisfait de cette barre de bonbons.Eh bien, je ne suis pas complètement satisfait."
"Listen, it's kind of an emergency. Well, I guess you know that, or we'd be in the predicament room.",anger,"Écoutez, c'est une sorte d'urgence.Eh bien, je suppose que vous le savez, ou nous serions dans la salle de choses."
"Hold on. Fill these out, sit over there.",anger,"Attendez.Remplissez-les, asseyez-vous là-bas."
"Look, I don't wanna make any trouble, okay, but I'm in a lot of pain here, alright? My face is dented.",anger,"Écoutez, je ne veux pas faire de problème, d'accord, mais je souffre beaucoup ici, d'accord?Mon visage est bosselé."
"Well, you'll have to wait your turn.",anger,"Eh bien, vous devrez attendre votre tour."
"Well, how long do you think it'll be?",neutral,"Eh bien, combien de temps pensez-vous que ce sera?"
Any minute now.,anger,Une minute maintenant.
"Hey, this- Heyy...",anger,"Hé, heyy ..."
Light still out?,neutral,La lumière est toujours éteinte?
Yeah.,neutral,Ouais.
Oh. Maybe they're- napping.,neutral,Oh.Peut-être qu'ils font la coupe.
"Oh please, they're having sex.",happiness,"Oh s'il vous plaît, ils ont des relations sexuelles."
Shut up!,anger,Fermez-la!
"So, whaddya think George is like?",neutral,"Alors, Whaddya pense que George est comme?"
I think he's shy.,neutral,Je pense qu'il est timide.
Yeah?,neutral,Ouais?
Yeah. I think you have to draw him out. And then- when you do- he's a preppy animal.,neutral,"Ouais.Je pense que vous devez le retirer.Et puis, quand vous le faites, c'est un animal preppy."
I remember the moonlight coming through the window- and her face had the most incredible glow.,happiness,Je me souviens que le clair de lune passant par la fenêtre et son visage avait la lueur la plus incroyable.
"Yes, the moon, the glow, the magical feeling, you did this part- Could I get some painkillers over here, please?",anger,"Oui, la lune, la lueur, le sentiment magique, vous avez fait cette partie - pourrais-je obtenir des analgésiques ici, s'il vous plaît?"
"He's right, enough, already. What is the big deal about today? So you slept with her for the first time, so what? You slept with her for seven years after that.",neutral,"Il a déjà raison, assez.Quel est le problème aujourd'hui?Alors tu as couché avec elle pour la première fois, alors quoi?Vous avez couché avec elle pendant sept ans après cela."
"Look, it's just a little more complicated...",fear,"Écoutez, c'est juste un peu plus compliqué ..."
"Well, what? What? What is it? That she left you? That she likes women? That she left you for another woman that likes women?",happiness,"Eh bien, quoi?Quoi?Qu'est-ce que c'est?Qu'elle t'a quitté?Qu'elle aime les femmes?Qu'elle vous a quitté pour une autre femme qui aime les femmes?"
"Little louder, okay, I think there's a man on the twelfth floor in a coma that didn't quite hear you...",anger,"Petit plus fort, d'accord, je pense qu'il y a un homme au douzième étage dans le coma qui ne t'a pas vraiment entendu ..."
Then what?,neutral,Alors quoi?
My first time with Carol was...,fear,Ma première fois avec Carol était ...
What?,neutral,Quoi?
It was my first time.,sadness,C'était ma première fois.
With Carol? Oh.,neutral,Avec Carol?Oh.
"So in your whole life, you've only been with one oh.",neutral,"Donc, dans toute votre vie, vous n'avez été avec un seul OH."
"Whoah, boy, hockey was a big mistake! There was a whole bunch of stuff we could've done tonight!",happiness,"Whoa, garçon, le hockey a été une grosse erreur!Il y avait tout un tas de choses que nous aurions pu faire ce soir!"
"Okay. Okay, I got one. Do you remember that vegetarian pate that I made that you loved so much?",happiness,"D'accord.D'accord, j'en ai un.Vous souvenez-vous de ce pâté végétarien que j'ai fait que vous aimiez tant?"
Uh-huh.,neutral,Uh-huh.
"Well, unless goose is a vegetable...ha haaaah!",happiness,"Eh bien, à moins que l'oie ne soit un légume ... ha haaaah!"
"Oh! Oh! Oh! Okay, fine, fine. Now I don't feel so bad about sleeping with Jason Hurley.",anger,"Oh!Oh!Oh!D'accord, très bien.Maintenant, je ne me sens pas si mal de coucher avec Jason Hurley."
What?! You slept with Jason?,anger,Quoi?!Vous avez dormi avec Jason?
You'd already broken up.,neutral,Vous aviez déjà rompu.
How long?,neutral,Combien de temps?
A couple hours.,neutral,Quelques heures.
"Oh, that's nice!",anger,"Oh, c'est bien!"
"Okay, okay, okay, I got one! Anyway- The valentine Tommy Rollerson left in your locker was really from me.",happiness,"D'accord, d'accord, d'accord, j'en ai un!Quoi qu'il en soit - le Valentine Tommy Rollerson laissé dans votre casier était vraiment de moi."
Excuse me?!,anger,Excusez-moi?!
Hello? Like he was really gonna send you one? She was a big girl.,happiness,Bonjour?Comme s'il allait vraiment t'en envoyer un?C'était une grande fille.
"Really. Well, at least 'big girls' don't pee in their pants in seventh grade!",anger,"Vraiment.Eh bien, au moins les «grandes filles» ne font pas pipi dans leur pantalon en septième année!"
I was laughing! You made me laugh!,anger,Je riais!Tu m'as fait rire!
